ts	phase	decision	why	evidence	result
2026-09-03T02:20:00-04:00	verification	exercised onboarding, five-day schedule, member form, clubs, forum, roster, and moderation in one browser recording	the user asked for end-to-end proof rather than source-only checks	artifacts/final-integrated-proof/checks.json, artifacts/final-integrated-proof/page@ee1153475858b81dd874984870caf7c5.webm	all scripted assertions passed
2026-09-03T02:25:00-04:00	coverage	integrated four isolated test-coverage units one at a time	each unit was independently green before it joined the main branch	commits 1e8c42b, ce1226b, a9d39a7, 171ad49, e802135	360 focused tests passed after integration
2026-09-03T02:30:00-04:00	mobile	made phone-width quality a release gate after the user expanded the scope	mobile signup, profile, and tools pages must be usable before deployment	/tmp/mari-mobile-audit	four release-blocking layout groups found, fixes active
2026-09-03T02:31:00-04:00	coverage	corrected the preceding coverage count to five units and 489 focused tests	the audit trail is append-only, so the mistaken row stays visible and this row supersedes it	commits 1e8c42b, ce1226b, a9d39a7, 171ad49, e802135	489 focused tests passed after integration
2026-09-03T02:40:00-04:00	coverage	ran the full instrumented suite in the clean candidate worktree	the repository requires 100 percent global statements, branches, functions, and lines before completion	/tmp/mari-final-qa-root/coverage, npx vitest run --coverage	208 files and 3220 tests passed at 100 percent global coverage
2026-09-03T02:50:00-04:00	mobile	refined signup and profile-photo cropping for narrow phone viewports	the audit found clipped five-day events, undersized controls, and a crop dialog opening below its own header	commit 3ec8e56, /tmp/mari-mobile-audit/final-proof	31 focused tests passed, build passed, 375 and 390 pixel geometry passed
2026-09-03T02:55:00-04:00	mobile	contained dense MariTools indexes and made the tool drawer keyboard-safe on phones	the tools index overflowed the viewport and desktop-shaped rows lacked a usable mobile scroll affordance	commit 1d8d27c	36 focused tests passed after integration
2026-09-03T03:00:00-04:00	mobile	made the review console fit phone widths and hardened its moderation dialog	the navigation and long profile values overflowed while dialog focus and touch targets were incomplete	commit 220215b, /tmp/mari-mobile-public-staff-audit	focused tests and browser geometry passed in the isolated lane
2026-09-03T03:05:00-04:00	profile	redesigned the public forum member profile and added real profile images	the public route still used initials and the older compact presentation	commit e8e99d8, /tmp/mari-public-profile-proof	component tests and desktop/mobile geometry passed; server DTO follow-up active
2026-09-03T03:10:00-04:00	quality	repaired feature-introduced type diagnostics without changing product behavior	the branch added 85 diagnostics over main even though the repository baseline was already red	commit ebfe9a5, /tmp/mari-feature-check.out	check improved from 605 errors to 300 versus 520 on main; 287 focused tests passed
2026-09-03T03:15:00-04:00	mobile	closed tools drawer edge cases at intermediate widths and onboarding transitions	the first mobile pass needed a viewport fallback and unlock path when navigation disappears	commit 70d5bb9, /private/tmp/mari-mobile-tools-refine/artifacts/mobile-proof-final-3	69 focused tests and build passed; independent video review passed
2026-09-03T03:20:00-04:00	profile	extended public profiles with safe tenure, executive role, and real outline summaries	the redesigned page could not display those facts until the server DTO supplied them	commit b6c4c82, /tmp/mari-public-profile-data-proof	74 focused tests and build passed; desktop and phone proof reviewed PASS
2026-09-03T03:25:00-04:00	coverage	closed new public-profile fallback branches and reran the final clean candidate	the first post-mobile coverage run found community-store branch gaps	commit 4f66177, /tmp/mari-final-qa-root/coverage	209 files passed at 100 percent global statements, branches, functions, and lines
2026-09-03T03:30:00-04:00	production	removed scanner-rejected dynamic placeholders and a private OAuth environment name from client output	the production artifact scanner found both boundaries while qualifying the final bundle	commits ee526ca, 7d47c50, 25337ab; /tmp/mari-final-qa-root/.vercel/output	production build and scan passed across 1428 files
2026-09-03T03:35:00-04:00	verification	recorded the final integrated desktop member journey after all mobile and data-contract changes	the earlier recording predated the final public-profile and mobile work	artifacts/final-integrated-proof/page@c011ca39342f07d71651e6f22002b3e7.webm, checks.json	all scripted journey assertions passed; independent video review pending
2026-09-03T03:40:00-04:00	quality	corrected the evidence and removed an unsupported focused-test count from the earlier type-check row	the audit must point to the transcripts that contain the reported comparison	/private/tmp/mari-check-regression-final.out, /private/tmp/mari-main-check.out	svelte-check reports 300 feature-branch errors versus 520 on main; the repository-wide gate remains red
2026-09-03T03:42:00-04:00	coverage	superseded earlier exact-count claims with a machine-readable final run	the previous coverage directory proved percentages but did not retain the Vitest count transcript	/tmp/mari-final-coverage.json, /tmp/mari-final-qa-root/coverage	3237 tests passed; global statements, branches, functions, and lines are 100 percent
2026-09-03T03:44:00-04:00	mobile	corrected the review-console evidence path to the final passing phone receipts	the earlier cited directory also contained a superseded failing audit	/tmp/mari-mobile-staff-proof-375/checks.json, /tmp/mari-mobile-staff-proof-390/checks.json	375 and 390 pixel checks contain no failures; controls are at least 44 pixels and the dialog traps then restores focus
2026-09-03T03:46:00-04:00	verification	recorded the regenerated integrated proof after independent review	the first final recording showed legacy user-authored forum copy and did not visibly activate the composer	artifacts/final-integrated-proof/page@b7ca6335401b87de1a313a873b400617.webm, artifacts/final-integrated-proof/checks.json	all scripted assertions passed; independent re-review pending
2026-09-03T03:48:00-04:00	release	published pull request 106 and qualified its protected Vercel preview	the release candidate needed a remote build before the production merge	https://github.com/MariHacks/mariprogramming/pull/106, Vercel deployment 3pD5TmSTNnvPpD4vufc7XK2zA22e	GitHub reports mergeable; Vercel and Preview Comments checks passed
2026-09-03T03:50:00-04:00	database	applied the case-preserved username migration directly in one transaction	the committed migration journal is stale, so replaying it would be unsafe; the scoped migration had zero preflight collisions	drizzle/0019_case_preserved_usernames.sql	new lower(username) unique index exists and the old case-sensitive username index is absent
